id,winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
56,Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0
57,Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0
58,Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0
59,Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0
60,Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0
61,Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,698.9,Ribera Del Duero Red,5.0,3.0
62,Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,872.47,Ribera Del Duero Red,5.0,3.0
63,Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,877.85,Ribera Del Duero Red,5.0,3.0
64,Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0
65,Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0
66,Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,679.72,Ribera Del Duero Red,5.0,3.0
67,Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,787.59,Ribera Del Duero Red,5.0,3.0
68,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,480.06,Ribera Del Duero Red,5.0,3.0
69,Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0
70,Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,154.9,Red,4.0,3.0
158,Vega Sicilia,Valbuena 5o,2011,4.6,6803,Espana,Ribera del Duero,218.0,Ribera Del Duero Red,5.0,3.0
159,Vega Sicilia,Valbuena 5o,2012,4.6,5938,Espana,Ribera del Duero,177.0,Ribera Del Duero Red,5.0,3.0
160,Vega Sicilia,Valbuena 5o,2008,4.6,5545,Espana,Ribera del Duero,187.3,Ribera Del Duero Red,5.0,3.0
161,Vega Sicilia,Valbuena 5o,2007,4.6,5116,Espana,Ribera del Duero,195.59,Ribera Del Duero Red,5.0,3.0
162,Vega Sicilia,Valbuena 5o,2013,4.6,4747,Espana,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0
163,Vega Sicilia,Valbuena 5o,2009,4.6,4685,Espana,Ribera del Duero,225.2,Ribera Del Duero Red,5.0,3.0
164,Alion,Ribera del Duero,2016,4.6,4516,Espana,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0
165,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Espana,Ribera del Duero,116.1879436,Ribera Del Duero Red,5.0,3.0
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Espana,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0
167,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Espana,Rioja,438.9,Rioja Red,4.0,3.0
168,Alion,Ribera del Duero,2017,4.6,2208,Espana,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0
169,Vega Sicilia,Valbuena 5o,2004,4.6,1608,Espana,Ribera del Duero,249.0,Ribera Del Duero Red,5.0,3.0
170,Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0
171,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Espana,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0
172,Vega Sicilia,Valbuena 5o,2000,4.6,1015,Espana,Ribera del Duero,252.0,Ribera Del Duero Red,5.0,3.0
173,Vega Sicilia,Valbuena 5o,2002,4.6,936,Espana,Ribera del Duero,232.0,Ribera Del Duero Red,5.0,3.0
174,Bodega Numanthia,Termanthia,2012,4.6,840,Espana,Toro,214.0,Toro Red,5.0,3.0
175,Bodega Numanthia,Termanthia,2011,4.6,790,Espana,Toro,205.0,Toro Red,5.0,3.0
176,Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Espana,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0
177,Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
178,Vega Sicilia,Valbuena 5o,1999,4.6,595,Espana,Ribera del Duero,276.8,Ribera Del Duero Red,5.0,3.0
179,Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
349,Pago de Carraovejas,Tinto,2016,4.5,7529,Espana,Ribera del Duero,29.8,Ribera Del Duero Red,5.0,3.0
350,Alion,Ribera del Duero,2013,4.5,7435,Espana,Ribera del Duero,73.0,Ribera Del Duero Red,5.0,3.0
351,Alion,Ribera del Duero,2014,4.5,7237,Espana,Ribera del Duero,56.27,Ribera Del Duero Red,5.0,3.0
352,Pintia,Toro,2014,4.5,5863,Espana,Toro,69.0,Toro Red,5.0,3.0
353,Pago de Carraovejas,Tinto,2018,4.5,5372,Espana,Ribera del Duero,45.0,Ribera Del Duero Red,5.0,3.0
354,Alion,Ribera del Duero,2015,4.5,5365,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
355,Pintia,Toro,2015,4.5,4979,Espana,Toro,69.8,Toro Red,5.0,3.0
356,Pago de Carraovejas,Tinto,2017,4.5,4935,Espana,Ribera del Duero,121.9368259,Ribera Del Duero Red,5.0,3.0
357,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,4.5,4411,Espana,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
358,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2005,4.5,3521,Espana,Rioja,400.0,Rioja Red,4.0,3.0
359,La Rioja Alta,Gran Reserva 890,2005,4.5,3443,Espana,Rioja,125.0,Rioja Red,4.0,3.0
360,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2009,4.5,3148,Espana,Rioja,229.0,Rioja Red,4.0,3.0
361,Pintia,Toro,2016,4.5,3118,Espana,Toro,40.41,Toro Red,5.0,3.0
362,Dominio de Pingus,Flor de Pingus,2016,4.5,2887,Espana,Ribera del Duero,101.94,Ribera Del Duero Red,5.0,3.0
363,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2015,4.5,2858,Espana,Ribera del Duero,172.5,Ribera Del Duero Red,5.0,3.0
364,Bodegas El Nido,Clio,2015,4.5,2712,Espana,Jumilla,33.2,Red,4.0,3.0
365,Dominio de Pingus,Flor de Pingus,2014,4.5,2710,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
366,Dominio de Pingus,Flor de Pingus,2010,4.5,2551,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
367,Dominio de Pingus,Flor de Pingus,2015,4.5,2530,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
368,Bodegas El Nido,Clio,2016,4.5,2228,Espana,Jumilla,31.75,Red,4.0,3.0
369,Bodegas El Nido,Clio,2017,4.5,2220,Espana,Jumilla,39.5,Red,4.0,3.0
370,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,4.5,2207,Espana,Ribera del Duero,64.0,Ribera Del Duero Red,5.0,3.0
371,Pago de Carraovejas,Tinto,2019,4.5,2144,Espana,Ribera del Duero,33.8,Ribera Del Duero Red,5.0,3.0
372,Benjamin de Rothschild - Vega Sicilia,Macan,2014,4.5,1910,Espana,Rioja,58.95,Rioja Red,4.0,3.0
373,Aalto,Tinto,2018,4.5,1864,Espana,Ribera del Duero,33.25,Ribera Del Duero Red,5.0,3.0
374,Bodegas El Nido,Clio,2018,4.5,1520,Espana,Jumilla,61.84917653,Red,4.0,3.0
375,Alto Moncayo,Garnacha,2017,4.5,1503,Espana,Campo de Borja,44.27,Grenache,5.0,3.0
376,Pago de Los Capellanes,Parcela El Nogal Tinto,2015,4.5,1393,Espana,Ribera del Duero,45.9,Ribera Del Duero Red,5.0,3.0
377,Vega Sicilia,Valbuena 5o,2003,4.5,1346,Espana,Ribera del Duero,239.2,Ribera Del Duero Red,5.0,3.0
378,Benjamin de Rothschild - Vega Sicilia,Macan,2015,4.5,1345,Espana,Rioja,68.9,Rioja Red,4.0,3.0
379,Alion,Ribera del Duero,2003,4.5,1236,Espana,Ribera del Duero,164.0,Ribera Del Duero Red,5.0,3.0
380,Belondrade,Belondrade y Lurton,2018,4.5,1192,Espana,Rueda,32.85,Verdejo,3.0,3.0
381,Pago de Los Capellanes,Parcela El Nogal Tinto,2014,4.5,1163,Espana,Ribera del Duero,40.95,Ribera Del Duero Red,5.0,3.0
382,Pago de Carraovejas,Reserva,2014,4.5,1148,Espana,Ribera del Duero,69.58032359,Ribera Del Duero Red,5.0,3.0
383,Dominio de Pingus,Flor de Pingus,2017,4.5,1094,Espana,Ribera del Duero,110.0,Ribera Del Duero Red,5.0,3.0
384,Remirez de Ganuza,Rioja Reserva,2012,4.5,1089,Espana,Rioja,49.75,Rioja Red,4.0,3.0
385,Muga,Prado Enea Gran Reserva,2014,4.5,1014,Espana,Rioja,51.0,Rioja Red,4.0,3.0
386,Remirez de Ganuza,Rioja Reserva,2011,4.5,1012,Espana,Rioja,59.9,Rioja Red,4.0,3.0
387,La Rioja Alta,Gran Reserva 890,2004,4.5,990,Espana,Rioja,290.7,Rioja Red,4.0,3.0
388,Belondrade,Belondrade y Lurton,2019,4.5,961,Espana,Rueda,37.7,Verdejo,3.0,3.0
389,Clos Mogador,Priorat,2015,4.5,955,Espana,Priorato,146.95,Priorat Red,4.0,3.0
390,Bodegas Tradicion,Pedro Ximenez Tradicion 20 Years Old Vos,N.V.,4.5,854,Espana,Jerez Pedro Ximenes (PX),68.9,Pedro Ximenez,5.0,1.0
391,Muga,Torre Muga,2016,4.5,838,Espana,Rioja,70.5,Rioja Red,4.0,3.0
392,Benjamin de Rothschild - Vega Sicilia,Macan,2016,4.5,813,Espana,Rioja,64.0,Rioja Red,4.0,3.0
393,Bodega Numanthia,Termanthia,2010,4.5,729,Espana,Toro,168.0,Toro Red,5.0,3.0
394,Emilio Moro,Malleolus de Valderramiro,2011,4.5,719,Espana,Ribera del Duero,173.95,Ribera Del Duero Red,5.0,3.0
395,Clos Mogador,Priorat,2017,4.5,666,Espana,Priorato,65.0,Priorat Red,4.0,3.0
396,Marques de Murrieta,Dalmau Rioja,2014,4.5,642,Espana,Rioja,67.6,Rioja Red,4.0,3.0
397,Hacienda Monasterio,Reserva,2015,4.5,629,Espana,Ribera del Duero,53.95,Ribera Del Duero Red,5.0,3.0
398,Pago de Los Capellanes,Parcela El Nogal Tinto,2016,4.5,595,Espana,Ribera del Duero,42.95,Ribera Del Duero Red,5.0,3.0
399,La Rioja Alta,Gran Reserva 890,1995,4.5,574,Espana,Rioja,127.23,Rioja Red,4.0,3.0
400,Bodegas El Nido,Clio,2019,4.5,550,Espana,Jumilla,47.3,Red,4.0,3.0
401,Muga,Aro,2015,4.5,529,Espana,Rioja,169.4,Rioja Red,4.0,3.0
402,Remirez de Ganuza,Gran Reserva,2007,4.5,529,Espana,Rioja,121.8389633,Rioja Red,4.0,3.0
403,Senorio de San Vicente,San Vicente Rioja,2017,4.5,505,Espana,Rioja,34.8,Rioja Red,4.0,3.0
404,Carmelo Rodero,Ribera del Duero TSM,2017,4.5,503,Espana,Ribera del Duero,55.35,Ribera Del Duero Red,5.0,3.0
405,Vina Sastre,Pago de Santa Cruz,2016,4.5,501,Espana,Ribera del Duero,75.95,Ribera Del Duero Red,5.0,3.0
406,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011,4.5,500,Espana,Ribera del Duero,48.7,Ribera Del Duero Red,5.0,3.0
650,La Rioja Alta,Vina Ardanza Reserva,2015,4.4,2370,Espana,Rioja,23.0,Rioja Red,4.0,3.0
651,Bodegas Roda,Roda I Reserva Rioja,2009,4.4,2228,Espana,Rioja,43.5,Rioja Red,4.0,3.0
652,Bodegas Roda,Roda I Reserva Rioja,2010,4.4,2133,Espana,Rioja,24.7,Rioja Red,4.0,3.0
653,Tomas Postigo,3er Ano Ribera del Duero Tinto,2017,4.4,2080,Espana,Ribera del Duero,27.4,Ribera Del Duero Red,5.0,3.0
654,Alion,Ribera del Duero,2007,4.4,2053,Espana,Ribera del Duero,96.0,Ribera Del Duero Red,5.0,3.0
655,Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016,4.4,1993,Espana,Rioja,37.52,Rioja Red,4.0,3.0
656,Bodegas Roda,Roda I Reserva Rioja,2011,4.4,1949,Espana,Rioja,43.95,Rioja Red,4.0,3.0
657,Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2017,4.4,1948,Espana,Almansa,19.6,Grenache,5.0,3.0
658,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2004,4.4,1943,Espana,Rioja,160.0,Rioja Red,4.0,3.0
659,Bodegas Roda,Roda I Reserva Rioja,2012,4.4,1853,Espana,Rioja,43.5,Rioja Red,4.0,3.0
660,Tomas Postigo,3er Ano Ribera del Duero Tinto,2018,4.4,1842,Espana,Ribera del Duero,27.75,Ribera Del Duero Red,5.0,3.0
661,Hacienda Monasterio,Cosecha,2018,4.4,1777,Espana,Ribera del Duero,32.5,Ribera Del Duero Red,5.0,3.0
662,Bodegas Mauro,Red,2019,4.4,1701,Espana,Castilla y Leon,29.45,Red,4.0,3.0
663,Aalto,Tinto,2017,4.4,1561,Espana,Ribera del Duero,51.52682717,Ribera Del Duero Red,5.0,3.0
664,Benjamin de Rothschild - Vega Sicilia,Macan,2010,4.4,1519,Espana,Rioja,216.0,Rioja Red,4.0,3.0
665,Alion,Ribera del Duero,2006,4.4,1514,Espana,Ribera del Duero,119.7,Ribera Del Duero Red,5.0,3.0
666,Muga,Torre Muga,2006,4.4,1475,Espana,Rioja,66.73,Rioja Red,4.0,3.0
667,Bodegas Roda,Roda I Reserva Rioja,2015,4.4,1463,Espana,Rioja,39.95,Rioja Red,4.0,3.0
668,Matsu,El Viejo,2018,4.4,1438,Espana,Toro,32.01,Toro Red,5.0,3.0
669,Bodegas Valduero,Ribera del Duero Una Cepa I,2016,4.4,1372,Espana,Ribera del Duero,28.9,Ribera Del Duero Red,5.0,3.0
670,Bodegas San Roman,Tinto,2017,4.4,1339,Espana,Toro,36.0,Toro Red,5.0,3.0
671,Marques de Vargas,Hacienda Pradolagar,2015,4.4,1326,Espana,Rioja,105.12,Rioja Red,4.0,3.0
672,Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2008,4.4,1269,Espana,Cava,52.5,Cava,2.0,3.0
673,Hacienda Monasterio,Cosecha,2017,4.4,1266,Espana,Ribera del Duero,33.31,Ribera Del Duero Red,5.0,3.0
674,Remirez de Ganuza,Rioja Reserva,2010,4.4,1255,Espana,Rioja,73.65,Rioja Red,4.0,3.0
675,Alto Moncayo,Garnacha,2016,4.4,1226,Espana,Campo de Borja,33.95,Grenache,5.0,3.0
676,Remirez de Ganuza,Rioja Reserva,2009,4.4,1172,Espana,Rioja,74.0,Rioja Red,4.0,3.0
677,Alion,Ribera del Duero,2005,4.4,1166,Espana,Ribera del Duero,169.0,Ribera Del Duero Red,5.0,3.0
678,Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2018,4.4,1158,Espana,Almansa,24.8,Grenache,5.0,3.0
679,Alion,Ribera del Duero,2004,4.4,1121,Espana,Ribera del Duero,140.8408663,Ribera Del Duero Red,5.0,3.0
680,Clos Mogador,Priorat,2014,4.4,1104,Espana,Priorato,175.5,Priorat Red,4.0,3.0
681,Vinicola Real,200 Monges Rioja Reserva,2011,4.4,1098,Espana,Rioja,37.57,Rioja Red,4.0,3.0
682,Arzuaga,Reserva Ribera del Duero,2016,4.4,1087,Espana,Ribera del Duero,26.24,Ribera Del Duero Red,5.0,3.0
683,Emilio Moro,Malleolus,2019,4.4,1069,Espana,Ribera del Duero,28.5,Ribera Del Duero Red,5.0,3.0
684,Bodegas Mauro,VS,2014,4.4,1064,Espana,Castilla y Leon,178.0,Tempranillo,4.0,2.0
685,Hacienda Monasterio,Reserva,2011,4.4,1048,Espana,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
686,Dominio de Pingus,Flor de Pingus,2008,4.4,1047,Espana,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
687,Bodegas Roda,Roda I Reserva Rioja,2016,4.4,1039,Espana,Rioja,35.9,Rioja Red,4.0,3.0
688,Pago de Los Capellanes,Reserva Tinto,2017,4.4,1040,Espana,Ribera del Duero,35.7,Ribera Del Duero Red,5.0,3.0
689,Aalto,Tinto,2019,4.4,1018,Espana,Ribera del Duero,33.0,Ribera Del Duero Red,5.0,3.0
690,Bodegas Mauro,VS,2015,4.4,995,Espana,Castilla y Leon,60.95,Tempranillo,4.0,2.0
691,Juan Gil,Jumilla Blue Label,2019,4.4,966,Espana,Jumilla,21.95,Red,4.0,3.0
692,Bodegas Tradicion,Palo Cortado Tradicion Vors 30 Years Sherry,N.V.,4.4,941,Espana,Jerez Palo Cortado,82.5,Sherry,4.0,3.0
693,Hacienda Monasterio,Reserva,2014,4.4,927,Espana,Ribera del Duero,109.9,Ribera Del Duero Red,5.0,3.0
694,Senorio de San Vicente,San Vicente Rioja,2011,4.4,925,Espana,Rioja,33.5,Rioja Red,4.0,3.0
695,Alto Moncayo,Garnacha,2018,4.4,915,Espana,Campo de Borja,38.95,Grenache,5.0,3.0
696,Volver,Triga,2016,4.4,852,Espana,Alicante,34.9,Red,4.0,3.0
697,Marques de Caceres,Gaudium,2014,4.4,827,Espana,Rioja,37.8,Rioja Red,4.0,3.0
698,Bodegas Tradicion,Amontillado Tradicion Vors 30 Years,N.V.,4.4,825,Espana,Jerez Amontillado,59.9,Sherry,4.0,3.0
699,Teso La Monja,Victorino,2016,4.4,812,Espana,Toro,38.7,Toro Red,5.0,3.0
700,Clos Mogador,Priorat,2011,4.4,809,Espana,Priorato,90.0,Priorat Red,4.0,3.0
701,Clos Mogador,Priorat,2010,4.4,799,Espana,Priorato,69.79,Priorat Red,4.0,3.0
702,Lan,Culmen Reserva Rioja,2011,4.4,798,Espana,Rioja,59.9,Rioja Red,4.0,3.0
703,Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2019,4.4,787,Espana,Almansa,27.39,Grenache,5.0,3.0
704,Bodegas Roda,Roda I Reserva Rioja,2005,4.4,783,Espana,Rioja,93.0,Rioja Red,4.0,3.0
705,Dominio del Aguila,Reserva,2016,4.4,778,Espana,Ribera del Duero,73.57,Ribera Del Duero Red,5.0,3.0
706,Marques de Vargas,Reserva Privada Rioja,2015,4.4,746,Espana,Rioja,49.67,Rioja Red,4.0,3.0
707,Abadia Retuerta,Pago Negralada,2014,4.4,726,Espana,Sardon de Duero,91.57,Tempranillo,4.0,2.0
708,Clos Mogador,Priorat,2012,4.4,695,Espana,Priorato,90.0,Priorat Red,4.0,3.0
709,Marques de Riscal,Baron de Chirel Rioja Reserva,2015,4.4,683,Espana,Rioja,69.95,Rioja Red,4.0,3.0
710,Alion,Ribera del Duero,2001,4.4,681,Espana,Ribera del Duero,190.0,Ribera Del Duero Red,5.0,3.0
711,Marques de Riscal,Baron de Chirel Rioja Reserva,2005,4.4,667,Espana,Rioja,140.0,Rioja Red,4.0,3.0
712,Tridente,Rejon Tempranillo,2015,4.4,664,Espana,Castilla y Leon,35.75,Tempranillo,4.0,2.0
713,Alvaro Palacios,Finca Dofi,2016,4.4,639,Espana,Priorato,52.5,Priorat Red,4.0,3.0
714,Clos Mogador,Priorat,2007,4.4,624,Espana,Priorato,95.0,Priorat Red,4.0,3.0
715,Ausas,Interpretacion,2016,4.4,618,Espana,Ribera del Duero,45.15,Ribera Del Duero Red,5.0,3.0
716,Muga,Torre Muga,2015,4.4,617,Espana,Rioja,58.21422475,Rioja Red,4.0,3.0
717,Senorio de San Vicente,San Vicente Rioja,2016,4.4,609,Espana,Rioja,42.7,Rioja Red,4.0,3.0
718,Tresmano - Tr3smano,Vendimia,2017,4.4,581,Espana,Ribera del Duero,28.73153673,Ribera Del Duero Red,5.0,3.0
719,Ferrer Bobet,Priorat Vinyes Velles,2017,4.4,575,Espana,Priorato,32.65,Priorat Red,4.0,3.0
720,Marques de Caceres,Gaudium,2015,4.4,561,Espana,Rioja,43.86,Rioja Red,4.0,3.0
721,Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2017,4.4,560,Espana,Rioja,36.9,Rioja Red,4.0,3.0
722,Remirez de Ganuza,Rioja Reserva,2013,4.4,550,Espana,Rioja,54.83,Rioja Red,4.0,3.0
723,Marques de Murrieta,Dalmau Rioja,2016,4.4,550,Espana,Rioja,55.33,Rioja Red,4.0,3.0
724,Bodegas Amaren,Tempranillo Reserva,2010,4.4,542,Espana,Rioja,26.9,Rioja Red,4.0,3.0
1114,La Rioja Alta,Vina Ardanza Reserva,2009,4.3,10273,Espana,Rioja,24.38,Rioja Red,4.0,3.0
1115,La Rioja Alta,Vina Ardanza Reserva,2012,4.3,9092,Espana,Rioja,20.0,Rioja Red,4.0,3.0
1117,Abadia Retuerta,Seleccion Especial,2016,4.3,7293,Espana,Sardon de Duero,17.48,Red,4.0,3.0
1118,R. Lopez de Heredia,Vina Tondonia Reserva,2008,4.3,6521,Espana,Rioja,37.9,Rioja Red,4.0,3.0
1119,Pintia,Toro,2010,4.3,6345,Espana,Toro,79.75,Toro Red,5.0,3.0
1120,Abadia Retuerta,Seleccion Especial,2015,4.3,5152,Espana,Sardon de Duero,24.95,Red,4.0,3.0
1121,La Rioja Alta,Rioja Gran Reserva 904,2004,4.3,4994,Espana,Rioja,29.9,Rioja Red,4.0,3.0
1122,Dominio de Pingus,PSI,2018,4.3,4767,Espana,Ribera del Duero,29.13,Ribera Del Duero Red,5.0,3.0
1123,Dominio de Pingus,PSI,2017,4.3,4457,Espana,Ribera del Duero,33.9,Ribera Del Duero Red,5.0,3.0
1124,Muga,Seleccion Especial (Reserva),2015,4.3,4266,Espana,Rioja,28.0,Rioja Red,4.0,3.0
1150,Tomas Postigo,3er Ano Ribera del Duero Tinto,2016,4.3,1914,Espana,Ribera del Duero,27.29,Ribera Del Duero Red,5.0,3.0
1151,Aalto,Tinto,2016,4.3,1884,Espana,Ribera del Duero,65.9,Ribera Del Duero Red,5.0,3.0
1152,Bodegas San Roman,Tinto,2015,4.3,1846,Espana,Toro,33.66,Toro Red,5.0,3.0
1153,Bodegas San Roman,Tinto,2012,4.3,1824,Espana,Toro,190.0,Toro Red,5.0,3.0
1154,Familia Torres,Mas La Plana Cabernet Sauvignon,2015,4.3,1797,Espana,Penedes,55.0,Cabernet Sauvignon,4.0,3.0
1155,Bodegas San Roman,Tinto,2016,4.3,1749,Espana,Toro,26.9,Toro Red,5.0,3.0
1156,Bodega Numanthia,Numanthia,2015,4.3,1743,Espana,Toro,36.9,Toro Red,5.0,3.0
1157,Bodegas Valduero,Ribera del Duero Una Cepa I,2015,4.3,1645,Espana,Ribera del Duero,25.95,Ribera Del Duero Red,5.0,3.0
1158,Pago de Los Capellanes,Reserva Tinto,2016,4.3,1638,Espana,Ribera del Duero,34.5,Ribera Del Duero Red,5.0,3.0
1159,Imperial,Rioja Gran Reserva,2012,4.3,1615,Espana,Rioja,47.9,Rioja Red,4.0,3.0
1160,Alto Moncayo,Garnacha,2014,4.3,1544,Espana,Campo de Borja,36.94,Grenache,5.0,3.0
1161,La Rioja Alta,Rioja Gran Reserva 904,1998,4.3,1528,Espana,Rioja,75.0,Rioja Red,4.0,3.0
1162,La Rioja Alta,Vina Arana Gran Reserva,2014,4.3,1525,Espana,Rioja,24.9,Rioja Red,4.0,3.0
1163,Remirez de Ganuza,Rioja Reserva,2006,4.3,1493,Espana,Rioja,58.0,Rioja Red,4.0,3.0
1164,La Rioja Alta,Vina Arana Gran Reserva,2012,4.3,1471,Espana,Rioja,32.55,Rioja Red,4.0,3.0
1165,Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2018,4.3,1465,Espana,Ribera del Duero,26.9,Ribera Del Duero Red,5.0,3.0
1166,Gonzalez-Byass,Matusalem Sherry VORS,N.V.,4.3,1452,Espana,Jerez Oloroso,63.34,Sherry,4.0,3.0
1167,Marques de Vargas,Reserva Privada Rioja,2014,4.3,1367,Espana,Rioja,37.9,Rioja Red,4.0,3.0
1168,Bodegas Valduero,Ribera del Duero Una Cepa I,2014,4.3,1362,Espana,Ribera del Duero,46.95,Ribera Del Duero Red,5.0,3.0
1169,Bodegas Roda,Roda I Reserva Rioja,2008,4.3,1330,Espana,Rioja,39.22,Rioja Red,4.0,3.0
1170,Luis Canas,Reserva Seleccion de la Familia,2016,4.3,1282,Espana,Rioja,18.5,Rioja Red,4.0,3.0
1171,Gonzalez-Byass,Apostoles 30 Years Old Sherry,N.V.,4.3,1247,Espana,Jerez Palo Cortado,74.0,Sherry,4.0,3.0
1172,Vinicola Real,200 Monges Rioja Reserva,2010,4.3,1230,Espana,Rioja,35.0,Rioja Red,4.0,3.0
